Timestamp;Game Type;Auction Round;Winner;Artist;Amount Paid
2020-01-23 15:27:31.873546;value;107;flat_bot_10-2;Van Gogh;1
2020-01-23 15:27:31.873546;value;108;flat_bot_10-2;Rembrandt;3
2020-01-23 15:27:31.873546;value;109;flat_bot_10-2;Da Vinci;1
2020-01-23 15:27:31.873546;value;110;flat_bot_10-2;Picasso;1
2020-01-23 15:27:31.873546;value;111;flat_bot_10-2;Picasso;5
2020-01-23 15:27:31.873546;value;112;flat_bot_10-2;Da Vinci;1
2020-01-23 15:27:31.873546;value;113;flat_bot_10-2;Da Vinci;4
2020-01-23 15:27:31.873546;value;114;flat_bot_10-2;Van Gogh;5
2020-01-23 15:27:31.873546;value;115;flat_bot_10-2;Van Gogh;1
2020-01-23 15:27:31.873546;value;116;flat_bot_10-2;Da Vinci;2
2020-01-23 15:27:31.873546;value;117;flat_bot_10-2;Picasso;1
2020-01-23 15:27:31.873546;value;118;flat_bot_10-2;Van Gogh;0
2020-01-23 15:27:31.873546;value;119;flat_bot_10-2;Da Vinci;2
2020-01-23 15:27:31.873546;value;120;flat_bot_10-2;Van Gogh;4
2020-01-23 15:27:31.873546;value;121;flat_bot_10-2;Van Gogh;4
2020-01-23 15:27:31.873546;value;122;flat_bot_10-2;Picasso;1
2020-01-23 15:27:31.873546;value;123;flat_bot_10-2;Van Gogh;5
2020-01-23 15:27:31.873546;value;124;flat_bot_10-2;Picasso;3
2020-01-23 15:27:31.873546;value;125;flat_bot_10-2;Van Gogh;3
2020-01-23 15:27:31.873546;value;126;flat_bot_10-2;Da Vinci;3
2020-01-23 15:27:31.873546;value;127;flat_bot_10-2;Picasso;3
2020-01-23 15:27:31.873546;value;128;flat_bot_10-2;Van Gogh;3
2020-01-23 15:27:31.873546;value;129;flat_bot_10-2;Da Vinci;1
2020-01-23 15:27:31.873546;value;130;flat_bot_10-2;Rembrandt;3
2020-01-23 15:27:31.873546;value;131;flat_bot_10-2;Picasso;2
2020-01-23 15:27:31.873546;value;132;flat_bot_10-2;Van Gogh;5
2020-01-23 15:27:31.873546;value;133;flat_bot_10-2;Da Vinci;3
2020-01-23 15:27:31.873546;value;134;flat_bot_10-2;Rembrandt;3
